"","species","decimallongitude","decimallatitude"
"426","Sphyrna lewini",-70.7657,40.0524
"427","Sphyrna lewini",146.1477,-17.9737
"428","Sphyrna lewini",178.5363167,-18.1617833
"429","Sphyrna lewini",156.25,-30.75
"430","Sphyrna lewini",-81.2539978027,29.8379993439
"431","Sphyrna lewini",-71.6771,40.7375
"432","Sphyrna lewini",-79.1833343506,31.5083332062
"433","Sphyrna lewini",146.1708,-17.8648
"434","Sphyrna lewini",146.1471,-17.9877
"435","Sphyrna lewini",147.0013,-19.23977
"436","Sphyrna lewini",-78.5916671753,32.2749996185
"437","Sphyrna lewini",-75.3556,35.5618
"438","Sphyrna lewini",146.1148,-18.0208
"439","Sphyrna lewini",111.75,-34.25
"440","Sphyrna lewini",-71.619,40.7356
"441","Sphyrna lewini",145.98806,-1.99284
"442","Sphyrna lewini",150.25,-36.75
"443","Sphyrna lewini",147.75,-16.25
"444","Sphyrna lewini",-78.4583358765,32.2333335876
"445","Sphyrna lewini",112.75,-33.75
"446","Sphyrna lewini",146.21288,-8.34402
"447","Sphyrna lewini",114.25,-30.75
"448","Sphyrna lewini",146.0941,-17.9811
"449","Sphyrna lewini",111.75,-23.75
"450","Sphyrna lewini",-71.7808,40.4085
"451","Sphyrna lewini",-72.2522,39.4099
"452","Sphyrna lewini",-72.3251,40.7421
"453","Sphyrna lewini",134.25,-35.25
"454","Sphyrna lewini",112.25,-27.25
"455","Sphyrna lewini",146.1276,-17.9556
"456","Sphyrna lewini",146.1138,-18.0091
"457","Sphyrna lewini",114.175,-22.125
"458","Sphyrna lewini",146.1309,-17.8417
"459","Sphyrna lewini",113.925,-21.925
"460","Sphyrna lewini",-71.5695,40.8233
"461","Sphyrna lewini",-72.3886,40.096
"462","Sphyrna lewini",144.2955,0.91082
"463","Sphyrna lewini",146.1311,-17.9641
"464","Sphyrna lewini",157.75,-28.75
"465","Sphyrna lewini",146.75026,-19.17332
"466","Sphyrna lewini",112.25,-27.75
"467","Sphyrna lewini",153.25,-32.75
"468","Sphyrna lewini",-77.7450027466,34.2540016174
"469","Sphyrna lewini",112.25,-29.75
"470","Sphyrna lewini",-79.5249977112,31.3833332062
"471","Sphyrna lewini",152.25,-33.25
"472","Sphyrna lewini",118.75,-34.75
"473","Sphyrna lewini",-78.7833328247,31.5416660309
"474","Sphyrna lewini",146.375,-18.025
"475","Sphyrna lewini",153.75,-25.75
"476","Sphyrna lewini",-71.274,39.9757
"477","Sphyrna lewini",178.59278,-17.32694
"478","Sphyrna lewini",148.37888,-1.77779
"479","Sphyrna lewini",145.94056,-8.14306
"480","Sphyrna lewini",146.101,-18.0175
"481","Sphyrna lewini",146.0936,-18.0182
"482","Sphyrna lewini",146.0908,-18.0057
"483","Sphyrna lewini",113.75,-33.25
"484","Sphyrna lewini",145.75199,-8.05033
"485","Sphyrna lewini",113.875,-21.875
"486","Sphyrna lewini",141.4,-14.6
"487","Sphyrna lewini",153.21626,-5.32553
"488","Sphyrna lewini",-81.341003418,30.8859996796
"489","Sphyrna lewini",151.75,-35.25
"490","Sphyrna lewini",145.70533,-2.00106
"491","Sphyrna lewini",126.9857,-11.4236
